# moID,sdss_run,sdss_col,sdss_field,sdss_obj,rowc,colc,mjd,ra,dec,lambda,beta,phi,vmu,vmu_err,vnu,vnu_err,vlambda,vbeta,mag_u,err_u,mag_g,err_g,mag_r,err_r,mag_i,err_i,mag_z,err_z,mag_a,err_a,mag_V,mag_B,ast_flag,ast_num,ast_designation,ast_det_count,ast_det_total,ast_flags,ra_comp,dec_comp,mag_comp,r_helio,r_geo,phase,cat_id,H,G,Arc,Epoch,a,e,i,asc_node,arg_peri,M,PEcat_id,aprime,eprime,sin_iprime
b's0584d',1033,1,18,501,998.964,227.926,51464.17464,319.778532,-1.028106,321.858475,13.907705,-57.528619,0.0202,0.0037,-0.0973,0.0032,-0.0117,-0.0988,21.81,0.2,20.32,0.04,19.77,0.02,19.561762,0.03,19.43982,0.14,0.009377446,0.04,19.99,20.75,1,62869,b'2000_UO84',1,2,0,319.778812,-1.028018,20.05,3.225,2.59,15.32,b'ASTORB_20041008',14.6,0.15,4095.0,53300.5,3.01652768,0.08975227,14.197422,207.942653,346.90541,119.862253,b'ASTDYS_N_20041008',3.01297,0.1441,0.2474
b's05871',1033,1,26,84,447.126,1859.88,51464.17779,320.915442,-0.84857,323.027658,13.719575,-56.362552,0.0156,0.0024,-0.0753,0.0027,-0.0094,-0.0764,19.69,0.03,17.91,0.02,17.32,0.01,17.101986,0.02,17.051657,0.03,0.04536371,0.02,17.56,18.36,1,5212,b'1989_SS',1,1,0,320.915543,-0.848566,16.91,3.136,2.484,15.56,b'ASTORB_20041008',11.6,0.15,5463.0,53300.5,3.02714364,0.0835713,11.375531,230.39305,225.860346,234.376329,b'ASTDYS_N_20041008',3.02742,0.0856,0.2121
b's0586a',1033,1,38,385,1075.33,1557.66,51464.18295,322.781026,-0.881779,324.832464,13.08832,-54.562862,0.0947,0.0042,-0.034,0.0042,0.0806,-0.0629,21.53,0.12,19.88,0.02,19.23,0.02,19.12369,0.03,19.038269,0.06,0.05483338,0.02,19.49,20.35,1,0,b'2003_WJ38',1,1,0,322.780935,-0.881736,19.5,1.921,1.172,25.4,b'ASTORB_20041008',16.57,0.15,1591.0,53300.5,2.3578807,0.20748863,8.189944,274.373214,109.188165,118.278019,b'ASTDYS_U_20041008',2.35713,0.1738,0.1605
b's05869',1033,1,39,382,550.47,1376.54,51464.18321,322.873013,-0.901683,324.915098,13.039572,-54.480479,0.0326,0.0029,-0.105,0.0032,-0.0034,-0.1099,21.83,0.16,19.82,0.02,19.16,0.02,18.944746,0.02,19.016695,0.06,0.11857065,0.02,19.43,20.3,1,35549,b'1998_FT108',1,1,0,322.873042,-0.901654,18.9,2.76,2.07,17.34,b'ASTORB_20041008',14.2,0.15,2353.0,53300.5,2.62425392,0.13097136,12.570014,212.389797,10.351804,170.453137,b'ASTDYS_N_20041008',2.62381,0.1701,0.2203
b's058d2',1033,1,86,297,1003.84,1547.68,51464.20283,329.958783,-0.882237,331.73463,10.660317,-47.680373,-0.0615,0.0042,-0.0408,0.0034,-0.0732,-0.0167,21.54,0.12,19.66,0.02,19.09,0.02,18.961567,0.03,18.84761,0.05,0.00443095,0.02,19.32,20.11,1,39737,b'1997_AE1',1,1,0,329.95871,-0.882067,19.45,2.931,2.174,14.79,b'ASTORB_20041008',14.6,0.15,2823.0,53300.5,2.67060609,0.10705925,11.147634,301.61726,202.226731,262.960537,b'ASTDYS_N_20041008',2.66956,0.1465,0.2078
b's058d4',1033,1,89,302,995.504,1928.58,51464.20407,330.406922,-0.840303,332.176456,10.542253,-47.239776,-0.0074,0.0027,0.0554,0.0027,0.0128,0.0545,20.74,0.06,18.96,0.02,18.29,0.01,18.05005,0.02,18.12302,0.03,0.14247857,0.02,18.57,19.46,1,66569,b'1999_RM145',1,2,0,330.406967,-0.840257,18.63,2.035,1.228,21.43,b'ASTORB_20041008',15.6,0.15,3949.0,53300.5,2.55426412,0.20415734,12.904063,324.336811,35.224435,79.77598,b'ASTDYS_N_20041008',2.55419,0.1602,0.2309
b's058a7',1033,1,112,205,504.094,1811.38,51464.21346,333.795968,-0.8528,335.38574,9.321331,-44.039782,0.0162,0.0032,-0.1281,0.0032,-0.0317,-0.1253,21.26,0.09,19.31,0.03,18.63,0.02,18.405624,0.02,18.487438,0.04,0.12707146,0.02,18.91,19.8,1,66702,b'1999_TJ88',1,2,0,333.795968,-0.852743,18.67,2.334,1.518,17.54,b'ASTORB_20041008',15.0,0.15,2348.0,53300.5,2.74244129,0.15226995,11.633671,203.651498,138.437747,45.942492,b'ASTDYS_N_20041008',2.74313,0.1171,0.2079
b's0589c',1033,1,115,177,462.02,287.858,51464.21469,334.240461,-1.020256,335.743917,9.004273,-43.682824,-0.0719,0.0029,-0.0199,0.0029,-0.0751,0.0075,21.25,0.1,19.48,0.02,18.79,0.02,18.606085,0.02,18.726059,0.04,0.13436852,0.02,19.08,19.98,1,0,b'1999_RS147',1,2,0,334.240444,-1.020181,18.39,2.844,2.044,14.22,b'ASTORB_20041008',13.76,0.15,937.0,53300.5,3.14755009,0.12837114,10.849752,313.4441,81.519649,289.281016,b'ASTDYS_U_20041008',3.15397,0.0889,0.207
b's0589b',1033,1,116,212,359.954,711.062,51464.21508,334.378954,-0.973672,335.891673,8.997426,-43.535447,0.0162,0.0032,-0.0772,0.0032,-0.0131,-0.0778,21.1,0.08,19.57,0.02,19.09,0.02,19.019182,0.02,18.94964,0.05,-0.112271376,0.02,19.28,19.96,1,0,b'1999_RP144',1,2,0,334.378921,-0.973639,18.88,2.175,1.346,18.69,b'ASTORB_20041008',15.59,0.15,1534.0,53300.5,2.59010589,0.18192723,6.19919,237.975622,84.298928,96.200439,b'ASTDYS_U_20041008',2.59089,0.1497,0.1267
b's058aa',1033,1,122,116,88.089,108.649,51464.21748,335.247297,-1.039793,336.685516,8.619601,-42.743985,-0.004,0.0034,-0.1448,0.0034,-0.0573,-0.1334,21.03,0.08,19.27,0.02,18.51,0.01,18.334402,0.02,18.282213,0.03,0.19480729,0.02,18.82,19.81,1,37865,b'1998_FS15',1,1,0,335.247295,-1.039743,18.66,2.441,1.618,16.33,b'ASTORB_20041008',14.8,0.15,18316.0,53300.5,2.59730981,0.15434587,13.846019,196.582751,81.547104,129.776801,b'ASTDYS_N_20041008',2.5987,0.1358,0.2475
b's058a9',1033,1,122,120,169.156,115.264,51464.21751,335.256213,-1.039064,336.694179,8.617022,-42.735346,-0.0416,0.0141,-0.0875,0.0156,-0.0715,-0.0663,21.89,0.17,20.11,0.03,19.39,0.02,19.301064,0.02,19.76891,0.1,0.11045808,0.03,19.69,20.62,1,0,b'2003_UK250',1,2,0,335.256189,-1.039095,19.58,2.368,1.542,16.84,b'ASTORB_20041008',15.87,0.15,1531.0,53300.5,2.29152051,0.07475135,5.650297,256.059238,337.559414,273.693353,b'ASTDYS_U_20041008',2.29154,0.0976,0.1091
b's058ea',1033,1,137,192,468.765,1312.39,51464.22382,337.534758,-0.907038,338.883607,7.900716,-40.552165,-0.0881,0.0032,-0.0321,0.0032,-0.0946,0.0029,21.34,0.15,19.9,0.03,19.42,0.02,19.350067,0.03,19.217104,0.06,-0.10515162,0.03,19.61,20.3,1,0,b'1999_RH155',1,1,0,337.534704,-0.907081,19.23,3.398,2.583,11.15,b'ASTORB_20041008',13.82,0.15,2300.0,53300.5,3.19880673,0.22110068,10.795955,315.777669,276.011418,49.797952,b'ASTDYS_U_20041008',3.17776,0.2452,0.2195
b's057b3',1033,1,145,305,1094.26,533.53,51464.22732,338.801233,-0.99252,340.037116,7.349644,-39.402127,-0.0862,0.0037,-0.0896,0.004,-0.1144,-0.0509,22.09,0.18,20.62,0.03,20.06,0.03,19.907028,0.03,19.980751,0.1,-0.002367293,0.03,20.29,21.06,1,0,b'2003_WE134',1,2,0,338.801155,-0.992381,19.87,2.426,1.575,15.33,b'ASTORB_20041008',16.11,0.15,2091.0,53300.5,2.23490144,0.09420516,5.239611,240.611195,317.808885,333.787036,b'ASTDYS_U_20041008',2.23454,0.1358,0.0978
b's057b2',1033,1,147,176,451.069,615.541,51464.22796,339.029905,-0.983486,340.25429,7.272468,-39.18558,-0.0103,0.0029,-0.0769,0.0037,-0.0387,-0.0674,21.38,0.1,19.71,0.04,19.06,0.02,18.886654,0.02,19.183472,0.05,0.09009471,0.03,19.33,20.2,1,0,b'2002_JY57',1,2,0,339.029944,-0.983443,19.11,2.029,1.159,18.33,b'ASTORB_20041008',16.31,0.15,1560.0,53300.5,2.36192617,0.16409913,4.728112,239.674511,82.988367,164.262809,b'ASTDYS_U_20041008',2.36249,0.125,0.0984
b's057f1',1033,1,158,237,617.119,1718.03,51464.23257,340.694864,-0.862047,341.854373,6.758598,-37.590061,-0.0788,0.0048,-0.0825,0.0045,-0.1048,-0.0466,22.07,0.23,20.27,0.04,19.62,0.02,19.352869,0.02,19.338982,0.08,0.13345236,0.04,19.88,20.75,1,40563,b'1999_RZ122',1,1,0,340.694662,-0.862074,19.08,2.659,1.802,13.39,b'ASTORB_20041008',14.9,0.15,2311.0,53300.5,2.75312379,0.04030078,5.638524,229.228253,98.8156,61.072702,b'ASTDYS_N_20041008',2.75322,0.021,0.1127
b's057ec',1033,1,160,244,1127.68,1626.48,51464.23355,341.050396,-0.871999,342.181895,6.61487,-37.263514,-0.0528,0.0042,-0.0931,0.0042,-0.0847,-0.0662,21.88,0.21,20.35,0.03,19.69,0.03,19.44095,0.03,19.570042,0.08,0.13126323,0.03,19.96,20.84,1,0,b'1999_RR107',1,2,0,341.050465,-0.871918,19.35,2.258,1.384,15.71,b'ASTORB_20041008',16.02,0.15,1505.0,53300.5,2.44391079,0.12995695,5.40729,226.181148,72.046755,160.726952,b'ASTDYS_U_20041008',2.44449,0.1099,0.1073
b's057db',1033,1,164,145,551.231,1533.51,51464.23504,341.585753,-0.882137,342.67654,6.402474,-36.770337,-0.1008,0.0037,0.0345,0.004,-0.0806,0.0702,21.7,0.16,20.17,0.03,19.55,0.03,19.3232,0.02,19.283304,0.06,0.087310426,0.03,19.8,20.64,1,0,b'1999_RU17',1,2,0,341.585751,-0.882187,19.34,2.111,1.228,16.63,b'ASTORB_20041008',16.38,0.15,2115.0,53300.5,2.37116099,0.23608167,11.814048,340.856185,304.220952,185.202973,b'ASTDYS_U_20041008',2.37211,0.1923,0.211
b's057e4',1033,1,168,132,1345.22,1812.41,51464.23694,342.271831,-0.85141,343.326555,6.169908,-36.122203,-0.0751,0.0034,-0.1644,0.0034,-0.1328,-0.1234,21.2,0.1,19.72,0.03,19.09,0.02,18.833893,0.02,18.842747,0.05,0.114423685,0.03,19.35,20.2,1,77044,b'2001_CE42',1,1,0,342.271903,-0.851394,19.32,2.491,1.618,13.81,b'ASTORB_20041008',15.5,0.15,4424.0,53300.5,2.60735246,0.09862913,14.294593,192.904374,231.909802,11.747692,b'ASTDYS_N_20041008',2.60741,0.0961,0.2526
b's057d6',1033,1,169,213,959.683,1337.94,51464.23723,342.379154,-0.903546,343.406346,6.080804,-36.042706,-0.0504,0.004,-0.0647,0.004,-0.0717,-0.0406,22.46,0.32,20.41,0.03,19.71,0.02,19.464996,0.03,19.5035,0.08,0.15675226,0.03,20.0,20.91,1,0,b'2002_JA96',1,2,0,342.379225,-0.903483,19.59,2.032,1.141,16.98,b'ASTORB_20041008',16.86,0.15,2570.0,53300.5,2.27872094,0.15905631,3.487024,258.40699,47.830203,206.410546,b'ASTDYS_U_20041008',2.27879,0.1224,0.0743
b's057d5',1033,1,170,153,653.707,466.694,51464.23755,342.495215,-0.999325,343.47749,5.94801,-35.97188,-0.1297,0.0034,-0.0406,0.0032,-0.1361,0.0119,21.77,0.17,20.0,0.06,19.3,0.02,19.070868,0.02,19.336557,0.07,0.15830736,0.06,19.59,20.51,1,0,b'1999_RX80',1,2,0,342.495167,-0.999391,19.05,2.423,1.546,14.15,b'ASTORB_20041008',15.38,0.15,1577.0,53300.5,2.31788266,0.04679132,6.434706,321.414658,201.671012,348.803656,b'ASTDYS_U_20041008',2.31767,0.0925,0.1171
b's137d1',1033,1,187,415,1166.43,1016.11,51464.24476,345.096346,-0.938526,345.913664,5.006249,-33.542836,-0.1374,0.0056,-0.0562,0.0058,-0.149,0.0011,22.24,0.28,20.79,0.05,20.16,0.04,19.851643,0.04,20.10131,0.14,0.13261,0.05,20.41,21.26,1,0,b'1998_FM105',1,1,0,345.096311,-0.938536,20.09,2.619,1.731,12.26,b'ASTORB_20041008',16.07,0.15,2064.0,53300.5,2.31538324,0.15025063,5.889748,323.843339,240.397926,299.043646,b'ASTDYS_U_20041008',2.31528,0.186,0.1124
b's137d3',1033,1,188,63,856.782,1016.81,51464.24508,345.211999,-0.938448,346.020777,4.96169,-33.436041,-0.1024,0.0037,-0.0997,0.0037,-0.1334,-0.0525,21.27,0.12,19.86,0.03,19.21,0.02,18.990211,0.02,18.990225,0.06,0.111918055,0.03,19.48,20.35,1,43646,b'2002_ER73',1,2,0,345.211985,-0.938513,19.48,2.816,1.932,11.36,b'ASTORB_20041008',15.1,0.15,5089.0,53300.5,2.80254032,0.02114228,7.726429,203.170607,253.902911,288.186765,b'ASTDYS_N_20041008',2.80209,0.0455,0.1413
b's137d4',1033,1,188,130,797.761,408.978,51464.24506,345.205525,-1.005305,345.988879,4.902513,-33.467921,-0.1353,0.0042,-0.0523,0.004,-0.1455,0.004,21.22,0.15,19.55,0.06,18.86,0.02,18.624464,0.02,18.663242,0.04,0.1452333,0.05,19.14,20.05,1,74685,b'1999_RT123',1,1,0,345.205402,-1.005398,19.19,2.367,1.472,13.56,b'ASTORB_20041008',15.7,0.15,3656.0,53300.5,2.3138136,0.02291609,4.365008,315.137758,226.543225,331.940966,b'ASTDYS_N_20041008',2.31358,0.0645,0.0825
b's137d9',1033,1,193,149,167.859,94.695,51464.24694,345.884757,-1.039722,346.60404,4.60828,-32.854623,-0.0952,0.0042,-0.0976,0.0045,-0.126,-0.0532,21.68,0.19,20.2,0.03,19.58,0.02,19.385345,0.03,19.251232,0.08,0.06673011,0.03,19.83,20.67,1,36214,b'1999_TH201',1,2,0,345.885567,-1.039513,19.25,3.305,2.424,9.51,b'ASTORB_20041008',14.1,0.15,2731.0,53300.5,3.15014066,0.04510819,10.80649,193.691922,352.542727,132.002448,b'ASTDYS_N_20041008',3.14542,0.088,0.1893
b's137e5',1033,1,201,234,198.68,465.88,51464.25027,347.085805,-0.998667,347.730112,4.180312,-31.731843,-0.153,0.0056,-0.0655,0.0053,-0.1669,-0.0009,22.28,0.31,20.63,0.18,20.01,0.03,19.766449,0.04,19.98472,0.13,0.085332476,0.17,20.26,21.1,1,58119,b'1981_EJ9',1,2,0,347.08578,-0.998597,20.25,2.82,1.923,10.81,b'ASTORB_20041008',15.9,0.15,8260.0,53300.5,2.56277844,0.10834285,3.986017,312.651121,204.666186,287.024109,b'ASTDYS_N_20041008',2.56215,0.1638,0.0841
b's137ed',1033,1,207,321,1070.79,607.891,51464.25302,348.079995,-0.982872,348.654083,3.807767,-30.810598,-0.1631,0.035,-0.0265,0.0321,-0.1609,0.0392,22.34,0.36,21.6,0.39,20.91,0.06,20.749016,0.08,20.760601,0.27,0.118706435,0.35,21.19,22.11,1,0,b'1998_HW37',1,1,0,348.08002,-0.983006,20.44,2.877,1.975,10.3,b'ASTORB_20041008',16.01,0.15,2931.0,53300.5,2.59654259,0.19822589,3.094495,300.474021,287.582723,184.028151,b'ASTDYS_U_20041008',2.59768,0.2363,0.0757
b's137ee',1033,1,208,105,1162.73,1571.23,51464.25347,348.23976,-0.876893,348.842937,3.843016,-30.622182,-0.1223,0.0034,-0.1082,0.0037,-0.1551,-0.0519,21.23,0.13,19.14,0.03,18.46,0.02,18.288706,0.03,18.467268,0.04,0.11275779,0.03,18.74,19.64,1,39927,b'1998_FM68',1,2,0,348.239699,-0.876796,19.45,2.516,1.607,11.73,b'ASTORB_20041008',15.7,0.15,4047.0,53300.5,2.43883818,0.1054472,5.67212,206.001365,42.200357,215.608134,b'ASTDYS_N_20041008',2.43852,0.1203,0.106
b's137ef',1033,1,208,147,801.233,978.431,51464.25336,348.200023,-0.942088,348.780774,3.798497,-30.684236,-0.1342,0.0042,-0.0602,0.0045,-0.1474,-0.0031,21.4,0.16,20.09,0.04,19.65,0.02,19.497602,0.04,19.388193,0.09,-0.11888711,0.04,19.82,20.46,1,65990,b'1998_KR14',1,2,0,348.200018,-0.942202,19.96,3.013,2.113,9.8,b'ASTORB_20041008',15.3,0.15,1930.0,53300.5,2.72972854,0.19043645,3.459576,307.346604,280.982135,152.747798,b'ASTDYS_N_20041008',2.72827,0.2226,0.0822
b's137f4',1033,1,216,389,1196.31,1102.54,51464.25679,349.441058,-0.928233,349.930512,3.326096,-29.537901,-0.1241,0.0072,-0.0814,0.0072,-0.1463,-0.0263,22.22,0.3,20.95,0.06,20.52,0.04,20.269487,0.05,20.139004,0.15,-0.0653101,0.06,20.69,21.33,1,0,b'1999_TX253',1,2,0,349.44128,-0.928267,19.86,2.738,1.827,10.41,b'ASTORB_20041008',15.7,0.15,916.0,53300.5,2.7175995,0.01864639,4.932855,206.875397,44.240724,150.97549,b'ASTDYS_U_20041008',2.71754,0.0524,0.0946
b's137f5',1033,1,216,403,1364.46,775.727,51464.25684,349.459565,-0.964172,349.933466,3.285781,-29.534998,-0.1297,0.0061,-0.0981,0.0061,-0.158,-0.0395,22.24,0.31,20.83,0.06,20.11,0.03,19.868591,0.04,19.923973,0.13,0.17018127,0.05,20.41,21.34,1,39652,b'1995_TY4',1,2,0,349.459539,-0.96422,20.28,2.752,1.84,10.36,b'ASTORB_20041008',16.1,0.15,2864.0,53300.5,2.64388232,0.0926439,5.766617,202.43679,38.698383,170.183667,b'ASTDYS_N_20041008',2.64436,0.1406,0.1059
b's137f6',1033,1,217,128,809.26,481.366,51464.25709,349.548246,-0.996552,350.002472,3.221253,-29.466234,-0.1536,0.0045,0.0382,0.0042,-0.1265,0.0953,21.29,0.13,19.6,0.04,19.06,0.02,18.880804,0.03,18.863123,0.05,-0.00694177,0.04,19.28,20.03,1,0,b'1999_RK177',1,1,0,349.548151,-0.996597,18.69,2.427,1.509,11.73,b'ASTORB_20041008',15.16,0.15,1834.0,53300.5,3.03537831,0.2475209,13.802555,353.173715,326.042038,7.947652,b'ASTDYS_U_20041008',3.03771,0.2281,0.2374
b's37cf5',1033,1,222,402,1406.12,1328.53,51464.25935,350.362397,-0.903255,350.789023,2.987764,-28.681916,-0.1302,0.0109,-0.0671,0.0101,-0.1463,-0.0106,22.36,0.38,21.59,0.09,20.96,0.06,20.777357,0.08,21.524874,0.91,0.0742369,0.09,21.21,22.06,1,0,b'2002_GW54',1,2,0,350.362339,-0.903157,20.58,2.891,1.976,9.59,b'ASTORB_20041008',16.17,0.15,2422.0,53300.5,2.64520608,0.10794476,4.422064,207.692201,2.628035,203.734526,b'ASTDYS_U_20041008',2.64514,0.1535,0.0843
